original_name,synonym_tr8,h_max,h_min,le_area,le_long,seed_wght,li_span,canopy_height,leaf_dmc,leaf_mass,leaf_size,life_span,seed_mass,seed_number_per_shoot,C.N.Ratio,Height..Mature,Lifespan,seed_mas_cal,seed_pro_cal,leaf_N_area,leaf_N_mass,max_height_cal,sla_cal
Chamerion angustifolium,Epilobium angustifolium,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.5,228,201.6,3811,perennials + poly-annuals < 5 years (short-lived perennials),0.05555,223691.5313,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamorchis alpina,Chamorchis alpina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.075,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodium album,Chenopodium album,NA,NA,NA,NA,NA,a (annual),0.483333333,164.3333333,148.5492584,2390,annuals + summer annuals + poly-annuals > 50 years (long-lived perennials),0.647,105090.0909,NA,NA,NA,0.974,3500,NA,NA,NA,NA
Chimaphila umbellata,Chimaphila umbellata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.06,NA,NA,0,poly-annuals 5-50 years (medium-lived perennials),NA,NA,Medium,1.1,Long,NA,NA,NA,NA,NA,NA
Chrysosplenium alternifolium,Chrysosplenium alternifolium,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1875,116,18.15563679,516.5,poly-annuals > 50 years (long-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),0.0544,184.2916667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysosplenium oppositifolium,Chrysosplenium oppositifolium,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.083333333,124.5,6.249876314,148.5,poly-annuals > 50 years (long-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),0.04368,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cicerbita alpina,Cicerbita alpina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.6,135.3,371.73,13711.625,perennials,1.079738095,493.2272727,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cicuta virosa,Cicuta virosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.675,130.2266667,874.7,17122.41667,perennials,1.692133333,7404.833333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinna latifolia,Cinna latifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,4.5,Moderate,NA,NA,NA,NA,NA,NA
Circaea alpina,Circaea alpina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.125,177.95,16.18,683,poly-annuals 5-50 years (medium-lived perennials),1.728,3,Medium,0.9,Moderate,NA,NA,NA,NA,NA,NA
Circaea lutetiana,Circaea lutetiana,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.308333333,193.5,69.44838802,2643,poly-annuals > 50 years (long-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),1.795490909,1194.966667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirsium arvense,Cirsium arvense,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.8625,141.6566667,190.5354895,3857.5,perennials + poly-annuals 5-50 years (medium-lived perennials),1.245544444,13516.22222,NA,NA,NA,1.47,4000,NA,NA,NA,NA
Cirsium oleraceum,Cirsium oleraceum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.8,142.83,88.05,3107.25,perennials + poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),2.592333333,7132.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirsium palustre,Cirsium palustre,NA,NA,NA,NA,NA,b (biennial) - h (pluriennial-hapaxanthic),0.85,NA,NA,NA,strict monocarpic bi-annuals and poly-annuals,1.562142857,8686.072727,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cladium mariscus,Cladium mariscus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.4,395.48,158.13,NA,perennials,2.237897143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clinopodium vulgare,Clinopodium vulgare,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.375,258,44.77825051,1055,perennials + poly-annuals < 5 years (short-lived perennials),0.425483333,15538.14286,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochlearia anglica,Cochlearia anglica,NA,NA,NA,NA,NA,b (biennial) - p (pluriennial-pollakanthic),0.148333333,71.27,10,214,perennials,1.142933333,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochlearia danica,Cochlearia danica,NA,NA,NA,NA,NA,a (annual) - b (biennial) - p (pluriennial-pollakanthic),0.08,83.185,3.520424741,88.20833333,perennials,0.22375,839.2222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochlearia officinalis,Cochlearia officinalis,NA,NA,NA,NA,NA,b (biennial) - p (pluriennial-pollakanthic),NA,NA,NA,NA,poly-annuals < 5 years (short-lived perennials),0.504117647,22.73333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeloglossum viride,Coeloglossum viride,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.11,151,18.96944445,422,perennials,NA,5093,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleanthus subtilis,Coleanthus subtilis,NA,NA,NA,NA,NA,a (annual),0.03,NA,NA,NA,summer annuals,0.033333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comarum palustre,Potentilla palustris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.35,264.86,115.855,1944.25,perennials,0.4414,914.25,NA,NA,NA,0.284,NA,NA,NA,NA,NA
Conopodium majus,Conopodium majus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.216666667,189.3333333,18.56981135,446,perennials,2.227,108.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Convallaria majalis,Convallaria majalis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.15,221.5,225.5838192,6124.5,perennials + poly-annuals > 50 years (long-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),133.758175,300.465,High,0.8,Moderate,NA,NA,NA,NA,NA,NA
Cornus sanguinea,Cornus sanguinea,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),2.375,255,NA,1009.233333,perennials,79.5914,970.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corydalis intermedia,Corydalis intermedia,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.15,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corydalis pumila,Corydalis pumila,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.15,NA,NA,NA,perennials,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corylus avellana,Corylus avellana,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),2.833333333,283.75,NA,3249.14,perennials + poly-annuals > 50 years (long-lived perennials),805.65,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynephorus canescens,Corynephorus canescens,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.075,393.955,1.29,33.5,perennials,2.03612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotoneaster integerrimus,Cotoneaster integerrimus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.15,378.04,33.082,391.4066667,perennials,76.049,250.9473684,High,9,Moderate,NA,NA,NA,NA,NA,NA
Crambe maritima,Crambe maritima,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3875,98.49333333,4177.033333,34629.255,perennials + strict monocarpic bi-annuals and poly-annuals + poly-annuals 5-50 years (medium-lived perennials),69.89348571,5794.428571,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crassula aquatica,Crassula aquatica,NA,NA,NA,NA,NA,a (annual),0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crataegus monogyna,Crataegus monogyna,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),4.885,336.1428571,NA,491.14,perennials,167.573325,1.5,High,20,Moderate,NA,NA,NA,NA,NA,NA
Crataegus rhipidophylla,Crataegus rhipidophylla,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepis paludosa,Crepis paludosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.45,140,61.04492871,2260,perennials + poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),0.6532,493.2894737,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepis praemorsa,Crepis praemorsa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.09,NA,NA,NA,summer annuals + poly-annuals 5-50 years (medium-lived perennials),0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepis tectorum,Crepis tectorum,NA,NA,NA,NA,NA,a (annual),0.265,NA,NA,NA,annuals + summer annuals + winter annuals,NA,5929.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptogramma crispa,Cryptogramma crispa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.225,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuscuta europaea,Cuscuta europaea,NA,NA,NA,NA,NA,a (annual),NA,NA,NA,NA,annuals + perennials + summer annuals + strict monocarpic bi-annuals and poly-annuals,0.476575,24197.22222,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cypripedium calceolus,Cypripedium calceolus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.325,NA,NA,NA,perennials,NA,2530,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystopteris alpina,Cystopteris alpina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.24,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystopteris fragilis,Cystopteris fragilis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,248,91.9,1970,poly-annuals 5-50 years (medium-lived perennials),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystopteris montana,Cystopteris montana,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystopteris sudetica,Cystopteris sudetica,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cytisus scoparius,Cytisus scoparius,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.05,200,NA,19.6,perennials,7.397333333,NA,Low,7,Moderate,NA,NA,NA,NA,NA,NA
Dactylorhiza fuchsii,Dactylorhiza fuchsii,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,127.5,134.4127584,3188.5,perennials,NA,4074562.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylorhiza incarnata,Dactylorhiza incarnata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.43,143.47,73.6,1595.25,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylorhiza maculata,Dactylorhiza maculata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,119.77,54.205,1361,perennials,NA,220333.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylorhiza majalis,Dactylorhiza majalis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,poly-annuals 5-50 years (medium-lived perennials),NA,4720600,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylorhiza praetermissa,Dactylorhiza praetermissa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylorhiza sambucina,Dactylorhiza sambucina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.16,113.04,46.27,1313.5,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dactylorhiza traunsteineri,Dactylorhiza traunsteineri,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.11,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Danthonia decumbens,Danthonia decumbens,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1,338.635,14.61016854,378,perennials,1.4583,3175.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daphne mezereum,Daphne mezereum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.7625,186.5,24.1,340.9,perennials + poly-annuals 5-50 years (medium-lived perennials),43.9,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deschampsia cespitosa,Deschampsia cespitosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.4325,337.294,32.4951702,342.3339583,perennials + poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),0.211112281,25240.64333,NA,NA,NA,0.231,NA,NA,NA,NA,NA
Deschampsia setacea,Deschampsia setacea,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.125,305.41,1.31,20,perennials,0.10888,62.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deschampsia setacea,Deschampsia setacea,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.125,305.41,1.31,20,perennials,0.10888,62.16666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianthus deltoides,Dianthus deltoides,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.22,262,1.496052632,24,perennials + poly-annuals 5-50 years (medium-lived perennials),0.202672727,32219.14761,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianthus superbus,Dianthus superbus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.38,191.63,11.56,247,perennials + poly-annuals 5-50 years (medium-lived perennials),0.916,1413.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diapensia lapponica,Diapensia lapponica,NA,NA,NA,NA,NA,NA,0.04,355.8,1.82,12.43318182,NA,0.12,557.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitalis purpurea,Digitalis purpurea,NA,NA,NA,NA,NA,b (biennial) - p (pluriennial-pollakanthic),0.691666667,242.5,2441.066253,32204,perennials + strict monocarpic bi-annuals and poly-annuals,0.071,363128,Medium,5,Short,0.083,NA,NA,NA,NA,NA
Diphasiastrum alpinum,Diphasiastrum alpinum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.048333333,329.765,12.955,62.5,perennials,0,888412.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diphasiastrum complanatum,Diphasiastrum complanatum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1,293.63,14.95,111,perennials,NA,1008928,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draba fladnizensis,Draba fladnizensis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.015,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draba incana,Draba incana,NA,NA,NA,NA,NA,NA,0.1775,NA,NA,NA,NA,0.124,600,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draba norvegica,Draba norvegica,NA,NA,NA,NA,NA,NA,0.0275,NA,NA,NA,NA,NA,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draba verna,Draba verna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,NA,<NA>,<NA>,<NA>,<NA>
Dracocephalum ruyschiana,Dracocephalum ruyschiana,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.4,NA,NA,NA,perennials,2.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera anglica,Drosera anglica,NA,NA,NA,NA,NA,NA,0.05,113.17,4.265,89.195,poly-annuals 5-50 years (medium-lived perennials),0.027714286,716,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Drosera intermedia,Drosera intermedia,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.035,176.435,0.84,22.04,poly-annuals 5-50 years (medium-lived perennials),0.0288,243.6666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera rotundifolia,Drosera rotundifolia,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.0825,134.865,2.17,86.75,perennials + poly-annuals 5-50 years (medium-lived perennials),0.017607692,1153.357143,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Dryas octopetala,Dryas octopetala,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.028333333,294.5,17.9,218.5,perennials,0.739266667,64.225,Medium,0.33,Short,NA,NA,NA,NA,NA,NA
Drymocallis rupestris,Potentilla rupestris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.39,305.65,26.4125,571.75,poly-annuals 5-50 years (medium-lived perennials),0.29832,840.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryopteris affinis,Dryopteris affinis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.3,233.555,2172.015,54489.25,poly-annuals 5-50 years (medium-lived perennials),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryopteris carthusiana,Dryopteris carthusiana,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.375,275.39,403.6875122,18468,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryopteris cristata,Dryopteris cristata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.55,NA,NA,NA,poly-annuals 5-50 years (medium-lived perennials),NA,NA,,1.6,Moderate,NA,NA,NA,NA,NA,NA
Dryopteris dilatata,Dryopteris dilatata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.6,277,1949.97279,46655,poly-annuals 5-50 years (medium-lived perennials),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryopteris expansa,Dryopteris expansa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,269.34,2980,60541.46,perennials,NA,NA,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Dryopteris filix-mas,Dryopteris filix-mas,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.75,295,3953.16974,95617,perennials + poly-annuals 5-50 years (medium-lived perennials),NA,5214192,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Elatine hexandra,Elatine hexandra,NA,NA,NA,NA,NA,a (annual),0.071666667,238.11,0.03,2.02,summer annuals + poly-annuals 5-50 years (medium-lived perennials),0.0208,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elatine triandra,Elatine triandra,NA,NA,NA,NA,NA,a (annual),0.05,NA,NA,NA,summer annuals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis acicularis,Eleocharis acicularis,NA,NA,NA,NA,NA,a (annual) - p (pluriennial-pollakanthic),0.06,148.97,0.2,13.25,perennials,0.075,5,Medium,0.7,Moderate,NA,NA,<NA>,<NA>,<NA>,<NA>
Eleocharis mamillata,Eleocharis mamillata,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.25,NA,NA,NA,perennials,0.961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis multicaulis,Eleocharis multicaulis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,282.55,22.72,172.5,perennials,0.5912,21.15384615,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis palustris,Eleocharis palustris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.525,217.76,NA,NA,annuals + poly-annuals > 50 years (long-lived perennials),1.011866667,36833.83334,High,1.3,Moderate,NA,NA,NA,NA,NA,NA
Eleocharis parvula,Eleocharis parvula,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.05,NA,NA,NA,perennials,NA,NA,High,1.2,Moderate,NA,NA,<NA>,<NA>,<NA>,<NA>
Eleocharis quinqueflora,Eleocharis quinqueflora,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1,299.29,6.02,58.5,perennials,0.964457143,6.958333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis uniglumis,Eleocharis uniglumis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.225,186.53,4.66,NA,perennials,1.4915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleogiton fluitans,Eleogiton fluitans,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elymus caninus,Elymus caninus,NA,NA,NA,NA,NA,NA,0.675,309.5,42.86202217,1156.5,perennials,4.462388889,152.0142857,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elytrigia juncea,Elymus farctus,NA,NA,NA,NA,NA,NA,NA,288.71,36.9,225.5,perennials,12.71027778,16.22222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elytrigia repens,Elytrigia repens,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Empetrum nigrum,Empetrum nigrum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.15,331.325,1.525,4.51625,perennials + poly-annuals 5-50 years (medium-lived perennials),1.034838462,35.53333333,High,1,Moderate,1.18,NA,<NA>,<NA>,<NA>,<NA>
Epilobium alsinifolium,Epilobium alsinifolium,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.15,NA,NA,NA,perennials,0.092463207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epilobium anagallidifolium,Epilobium anagallidifolium,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.05875,344.84,1.053333333,23.782,perennials,0.06190625,103.35,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Epilobium collinum,Epilobium collinum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.25,NA,NA,NA,perennials,NA,676.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epilobium hirsutum,Epilobium hirsutum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.033333333,208,130.14081,2833,perennials + poly-annuals 5-50 years (medium-lived perennials),0.127777778,57674.51852,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epilobium lactiflorum,Epilobium lactiflorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.125,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Epilobium montanum,Epilobium montanum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.35,229.3333333,91.7561712,2187,perennials + poly-annuals 5-50 years (medium-lived perennials),0.1267,417429.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epilobium obscurum,Epilobium obscurum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.516666667,135,36.50211581,1161,perennials + poly-annuals 5-50 years (medium-lived perennials),0.0678,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epilobium palustre,Epilobium palustre,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.275,144.9133333,11.4892804,492.3333333,perennials + poly-annuals 5-50 years (medium-lived perennials),0.08145,9066,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Epilobium parviflorum,Epilobium parviflorum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.433333333,160.3333333,24.9194993,779,perennials + poly-annuals 5-50 years (medium-lived perennials),0.079411111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epipactis atrorubens,Epipactis atrorubens,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.225,221.095,67.20666667,1302.5,perennials,0.01,15333333.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epipactis helleborine,Epipactis helleborine,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,204.1733333,95.035,2582.833333,poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),0.004,1385502.76,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Epipactis palustris,Epipactis palustris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.275,184.665,49.67,1466,perennials + poly-annuals 5-50 years (medium-lived perennials),NA,27750,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epipogium aphyllum,Epipogium aphyllum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equisetum arvense,Equisetum arvense,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.325,237.805,178.645,167,perennials + poly-annuals < 5 years (short-lived perennials),NA,NA,,0.9,Short,NA,NA,<NA>,<NA>,<NA>,<NA>
Equisetum fluviatile,Equisetum fluviatile,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1,267.61,20.05,185.5,perennials,NA,NA,High,3,Long,NA,NA,NA,NA,NA,NA
Equisetum hyemale,Equisetum hyemale,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.95,154.2,456.415,1379.5,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equisetum palustre,Equisetum palustre,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,201.8,14.55,NA,perennials,NA,NA,NA,NA,NA,NA,NA,<NA>,<NA>,<NA>,<NA>
Equisetum pratense,Equisetum pratense,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.325,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equisetum sylvaticum,Equisetum sylvaticum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.325,236.76,12.185,302.17,perennials,NA,NA,,0.9,Short,NA,NA,NA,NA,NA,NA
Equisetum variegatum,Equisetum variegatum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erica cinerea,Erica cinerea,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.4625,290.25,NA,2.275,perennials,0.0595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erica tetralix,Erica tetralix,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.4375,473.885,0.345,4.09,perennials + poly-annuals 5-50 years (medium-lived perennials),0.012928889,2323268.536,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erigeron acris,Erigeron acris,NA,NA,NA,NA,NA,b (biennial) - p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erigeron borealis,Erigeron borealis,NA,NA,NA,NA,NA,NA,0.146,151.61,4.415,81.575,NA,0.258,189,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erigeron uniflorus,Erigeron uniflorus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.055,NA,NA,NA,NA,0.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriophorum angustifolium,Eriophorum angustifolium,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.196666667,342,85.80206997,885.4466667,perennials + poly-annuals 5-50 years (medium-lived perennials),0.599692308,1640.066667,High,2,Long,NA,NA,NA,NA,NA,NA
Eriophorum gracile,Eriophorum gracile,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,perennials,0.33304,NA,Medium,1.7,Long,0.209,NA,<NA>,<NA>,<NA>,<NA>
